rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
deluxe triple room,room,deluxe,private bathroom,,triple,not club,,no balcony,,
Premium Two Queen Room with Living Lrea	High Floor non-smoking,room,premium,private bathroom,,double,not club,,no balcony,,
Premier Premier      Seaview Sea,room,premier,private bathroom,,,not club,,no balcony,sea view,
Queen room (1 Queen Bed),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Studio - Pool access Studio - Pool access pool,studio,,private bathroom,,,not club,,no balcony,,
Corner Suite Room Only,suite,,private bathroom,,,not club,,no balcony,,
Family suite Family suite,suite,,private bathroom,,,not club,,no balcony,,
PREMIUM STUDIO BURJ KHALIFA AND FOUNTAIN VIEW Room Only,studio,premium,private bathroom,,,not club,,no balcony,water view,
"junior suite,1 bedroom,partial sea view",junior-suite,,private bathroom,,,not club,1 bedroom,no balcony,partial-sea view,
DELUXE ROOM Half Board,room,deluxe,private bathroom,,,not club,,no balcony,,
"Larger Guest room, 2 Double, Hollywood Tower Larger Guest room, 2 Double, Hollywood Tower",room,standard,private bathroom,,double,not club,,no balcony,,
"Comfort Double or Twin Room, 1 Bedroom (1 King Bed)",room,comfort,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
"Suite, Balcony, Pool View (2 adults + 2 children) (2 Twin Beds and 2 Twin Sofa Beds)",suite,,private bathroom,twin/twin-or-double,double,not club,,balcony,pool view,
Standard room with 1 double bed double (Main Building),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Economic Room - City View Single bed(1 Amount),room,economy,private bathroom,single bed,single,not club,,no balcony,city view,
1-room studio apartment,studio,,private bathroom,,,not club,1 bedroom,no balcony,,
Grand Executive One King Bed with Executive Lounge Access Room Only,room,grand,private bathroom,double/double-or-twin,double,not club,,no balcony,,
3-room flat,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
Apartment 1 Bedroom Marina View (2 Adults + 2 children) (2 Twin Beds and 2 Twin Sofa Beds),apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,harbour view,
"Deluxe Deluxe Room (Resort), 1 Twin Bed",room,deluxe,private bathroom,single bed,single,not club,,no balcony,,
Classic One Bedroom Suite Suite 1 bedroom - Classic (1 Double or 1 Twin),suite,classic,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Twin/Double room - Balcony - Sea View Twin/Double room - Balcony - Sea View sea,room,standard,private bathroom,double/double-or-twin,double,not club,,balcony,sea view,
Family FAMILY ROOM POOL VIEW Pool,room,standard,private bathroom,,,not club,,no balcony,pool view,
DELUXE TERRACE POOL VIEW (1 Double or 1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,pool view,
Twin/Double room - De Luxe - Creek View Twin/Double room - De Luxe - Creek View,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,water view,
Villa POOL VILLA BEACHSIDE,villa,,private bathroom,,,not club,,no balcony,beachfront,
"Premium One King bed Premium Room with Marina View and Balcony, 1 King Bed Marina",room,premium,private bathroom,double/double-or-twin,double,not club,,balcony,harbour view,
Deluxe twin room - de luxe - tropical,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
1 King Bed Standard Sofa Bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite - Skyline view Suite - Skyline view,suite,,private bathroom,,,not club,,no balcony,with view,
1-room standard double or twin apartment,apartment,standard,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
"Club Suite, 1 King Bed (Club Lounge Access)",suite,,private bathroom,double/double-or-twin,double,club,,no balcony,,
Apartment 2 bedrooms - Sea View Apartment 2 bedrooms - Sea View sea,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,sea view,
Double or twin arch room (2 Twin Beds),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Villa - Sky - Private Pool Villa - Sky - Private Pool pool,villa,,private bathroom,,,not club,,no balcony,,
1-room studio apartment Underground double,studio,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Top Floor Apartment,apartment,,private bathroom,,,not club,,no balcony,,
standard with 2 separate beds Twin beds,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Family Room (2 Twin Sofa Beds),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Economy Economy Room,room,economy,private bathroom,,,not club,,no balcony,,
Executive Place with Balcony (1 King Bed and 1 Double Sofa Bed),room,executive,private bathroom,,double,not club,,balcony,,
"Executive Double or Twin Room, Sea View (2 Twin Beds) - Package Rate",room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Signature Palm Suite Resort View Half Board,suite,,private bathroom,,,not club,,no balcony,with view,
Superior Suite Kaaba View,suite,superior,private bathroom,,,not club,,no balcony,,
TWIN CAPACITY 1,room,economy,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Villa Temoyong (1 King Bed),villa,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard BEDOUIN KING ROOM,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Suite, 1 King Bed, Accessible, Corner (Roll-In Shower) (1 King Bed)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
king junior suite sea view Breakfast,junior-suite,,private bathroom,,,not club,,no balcony,sea view,
"Deluxe Family Room with sea view, balcony, access to luxury spa, Kids & Teens Club, private cinema",room,deluxe,private bathroom,,,not club,,balcony,sea view,
Studio - Suite Studio - Suite,suite,,private bathroom,,,not club,,no balcony,,
"Ultra Resort Room, 2 Queen Beds, Non Smoking",room,standard,private bathroom,,quadruple,not club,,no balcony,,
One Bedroom Apartment 1 Bedroom Apartment.,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
Wellness Suite,suite,,private bathroom,,,not club,,no balcony,,
Suite 2 bedrooms - Grand - Jacuzzi - Ocean view Suite 2 bedrooms - Grand - Jacuzzi - Ocean view ocean,suite,grand,private bathroom,,,not club,2 bedrooms,no balcony,ocean view,
Deluxe Guest Room Marina View Breakfast,room,deluxe,private bathroom,,,not club,,no balcony,harbour view,
Club CLUB OCEANFRONT DOUBLE,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean front,
Single Superior Sky with balcony,room,superior,private bathroom,,single,not club,,balcony,,
1 King Bed Standard Mobility Accessible Bathtub 1 King Bed Standard Mobility Accessible Bathtub,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe King Deluxe Room with Pool View & Yas Theme Park Access Pool,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,pool view,
sharedBed in 4-bed dormitory   in block,dorm,,shared bathroom,,,not club,,no balcony,,
Deluxe Double,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard double or twin room (room for disabled guests) double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Twin room - Classic - Accessible Twin room - Classic - Accessible,room,classic,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Twin Room, Non Smoking",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Presidential Suite, 1 Bedroom (1 King Bed)",suite,presidential,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Pool Access Fantasy(1 King Bed),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive Two Bedroom Suite,suite,executive,private bathroom,,,not club,2 bedrooms,no balcony,,
"Superior Room, 1 Double Bed with Sofa bed (1 Double Bed and 1 Double Sofa Bed)",room,superior,private bathroom,,double,not club,,no balcony,,
Pearl Suite,suite,,private bathroom,,,not club,,no balcony,,
Suite 2 bedrooms - Family - Garden Suite 2 bedrooms - Family - Garden garden,suite,,private bathroom,,,not club,2 bedrooms,no balcony,garden view,
"Villa, 1 King Bed, Pool View, Beachside (1 King Bed)",villa,,private bathroom,double/double-or-twin,double,not club,,no balcony,pool view,
Lincoln House,cottage,,private bathroom,,,not club,,no balcony,,
Two-Bedroom Royal Villa by Jim Thompson,villa,royal,private bathroom,,,not club,2 bedrooms,no balcony,,
Standard Centro Room – Queen Bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard apartment with 1 double bed double,apartment,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
DELUXE/STANDARD WALK VIEW Full Board,room,standard,private bathroom,,,not club,,no balcony,,
"Family Suite with Balcony, Resort View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall",suite,,private bathroom,,,not club,,balcony,with view,
Standard Twin room - Urban - City View City,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
Suite MARJAN SUITE,suite,,private bathroom,,,not club,,no balcony,,
Essential Room,room,standard,private bathroom,,,not club,,no balcony,,
Deluxe Room Eiffel Tower View - Atelier,room,deluxe,private bathroom,,,not club,,no balcony,,
